Days	JW1	JW2	JW3	JW4	JW5	JW6	JW7
1	7698	6483	5711	5115	5908	3828	7784
2	6008	5638	720	4202	6187	6102	7194
3	8937	7984	10219	8432	4394	2249	6455
4	4696	9731	6088	1266	5,239	9706	4262
5	8893	6863	4717	6373	1,207	7749	6662
6	7755	2170	5994	4513	5125	4837	7385
7	8999	4668	4264	4259	7514	7833	7546
Average	7,569	6,220	5,388	4,880	5,082	6,043	6,755
