miRNA JW1Post JW1Pre JW2Post JW2Pre JW3Post JW3Pre JW4Post JW4Pre JW5Post JW5Pre JW6Post JW6Pre JW7Post JW7Pre
hsa-miR-301a-5p 2 0 13 0 0 1 0 0 1 6 0 13 6 0
hsa-miR-301b-3p 0 0 0 0 1 0 0 0 0 0 0 0 0 14
hsa-miR-302a-3p 0 0 2 0 0 0 1 0 0 0 0 0 0 0
hsa-miR-302a-5p 1 0 1 0 0 0 1 0 3 0 0 0 0 1
hsa-miR-302b-3p 9 0 9 0 1 0 25 0 1 0 0 0 0 10
hsa-miR-302c-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-3064-5p 3 17 18 0 0 8 33 27 8 15 3 44 32 0
hsa-miR-3074-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-3074-5p 0 0 1 0 25 0 0 0 0 0 3 8 0 0
hsa-miR-30a-3p 201 89 71 154 310 196 183 227 186 150 39 221 245 167
hsa-miR-30a-5p 471 131 234 494 680 1065 819 1368 596 769 110 982 720 716
hsa-miR-30b-3p 0 3 13 0 3 0 35 1 15 0 4 16 0 14
hsa-miR-30b-5p 17 15 44 41 56 89 57 71 30 78 17 108 68 4
hsa-miR-30c-1-3p 43 7 6 0 16 0 0 0 7 8 8 1 0 0
hsa-miR-30c-2-3p 1 1 2 9 0 28 0 15 22 4 0 16 0 24
hsa-miR-30c-5p 883 263 545 367 568 195 407 343 722 266 224 990 489 238
hsa-miR-30d-3p 16 3 18 27 29 1 26 1 21 8 4 0 2 0
hsa-miR-30d-5p 20395 4847 15302 18250 15949 8508 21291 19852 31719 7071 9748 24702 14828 11887
hsa-miR-30e-3p 888 431 574 503 914 336 878 623 1432 420 256 1956 420 450
hsa-miR-30e-5p 1305 486 742 1434 1603 1038 1681 1620 2637 400 892 1484 1784 1287
hsa-miR-31-3p 0 0 0 0 0 1 1 0 0 1 0 1 1 0
hsa-miR-31-5p 8 0 5 1 0 3 5 3 0 3 1 1 2 0
hsa-miR-3115 0 0 0 0 0 0 0 11 0 0 0 0 0 0
hsa-miR-3117-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3120-3p 22 0 12 12 10 0 0 22 33 0 10 60 0 12
hsa-miR-3120-5p 33 1 17 2 13 0 37 16 24 26 12 35 0 0
hsa-miR-3121-3p 0 0 2 0 0 0 0 0 7 3 0 0 0 0
hsa-miR-3122 0 0 0 0 0 0 4 0 0 0 0 4 0 9
hsa-miR-3124-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 12
hsa-miR-3125 0 0 0 0 0 0 0 0 0 0 0 0 20 6
hsa-miR-3127-3p 0 17 0 0 0 0 1 4 24 0 7 2 0 0
hsa-miR-3127-5p 0 0 0 14 7 0 9 2 27 5 2 0 29 6
hsa-miR-3128 0 0 0 0 0 0 0 0 0 0 0 0 1 0
hsa-miR-3129-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-3130-3p 0 0 0 5 4 0 3 10 0 9 0 8 14 0
hsa-miR-3130-5p 0 0 4 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3131 0 0 0 0 0 0 0 0 0 2 1 5 0 0
hsa-miR-3133 0 0 0 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-3135a 0 0 0 0 0 0 22 0 0 0 0 0 10 0
hsa-miR-3136-5p 0 0 0 0 0 0 0 0 12 0 0 0 0 0
hsa-miR-3138 0 0 0 0 0 0 0 4 0 0 3 6 0 0
hsa-miR-3140-3p 0 0 0 0 0 0 0 0 0 3 2 0 9 0
hsa-miR-3143 4 0 0 0 3 0 0 0 8 8 0 0 0 0
hsa-miR-3144-5p 0 0 0 0 0 0 1 0 0 0 0 0 0 0
hsa-miR-3146 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-3150a-5p 16 11 8 13 15 6 75 37 35 20 22 32 21 9
hsa-miR-3150b-3p 0 2 0 6 0 0 3 0 2 0 0 0 0 0
hsa-miR-3150b-5p 0 0 0 0 0 0 0 0 0 0 0 0 4 0
hsa-miR-3151-5p 0 0 0 0 0 16 0 15 15 0 0 0 0 0
hsa-miR-3154 0 0 0 0 0 0 1 0 0 0 0 0 0 2
hsa-miR-3157-3p 1 0 3 13 0 19 30 0 14 7 2 0 45 23
hsa-miR-3158-3p 417 25 134 346 664 393 1136 1103 1335 316 141 431 730 570
hsa-miR-3158-5p 0 0 0 0 0 0 0 0 0 0 0 2 0 0
hsa-miR-3159 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3160-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3161 12 0 0 0 0 0 0 7 0 0 0 0 0 0
hsa-miR-3162-5p 0 0 0 4 0 0 0 0 0 0 0 0 0 0
hsa-miR-3163 2 0 0 0 0 15 0 11 0 0 0 3 0 0
hsa-miR-3164 0 4 0 16 0 0 0 10 18 0 5 1 0 0
hsa-miR-3168 0 0 0 0 0 0 0 0 0 0 0 2 0 0
hsa-miR-3170 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3173-3p 0 5 0 19 0 0 0 0 0 2 0 2 0 0
hsa-miR-3173-5p 23 0 20 6 22 0 87 32 58 2 14 17 49 45
hsa-miR-3174 0 0 9 3 0 0 0 0 6 3 13 25 0 0
hsa-miR-3175 0 0 0 0 0 0 22 0 22 0 0 11 0 0
hsa-miR-3176 0 0 1 0 1 0 10 0 3 0 0 2 0 0
hsa-miR-3177-3p 64 0 26 10 22 0 8 0 23 5 10 56 35 24
hsa-miR-3179 0 0 0 0 0 0 0 0 10 5 1 0 0 0
hsa-miR-3180-5p 0 0 0 0 2 0 0 0 0 0 0 0 0 0
hsa-miR-3180 0 0 0 1 0 0 24 0 4 0 5 0 2 0
hsa-miR-3181 3 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3186-5p 0 0 0 0 0 0 0 0 11 0 0 0 0 0
hsa-miR-3187-3p 0 0 0 17 0 0 9 5 0 0 2 6 9 0
hsa-miR-3187-5p 0 0 4 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3188 6 0 3 13 0 0 0 0 0 13 1 0 0 0
hsa-miR-3190-3p 0 8 3 0 0 0 0 10 21 0 1 4 0 0
hsa-miR-3191-3p 17 4 11 4 0 0 0 8 23 0 5 36 0 1
hsa-miR-3191-5p 0 0 0 0 0 7 0 0 0 0 0 0 0 0
hsa-miR-3192-5p 0 0 0 0 0 0 0 0 10 0 0 10 0 17
hsa-miR-3194-3p 0 0 0 0 0 0 0 6 12 0 0 0 0 0
hsa-miR-3198 3 2 2 3 0 0 10 0 10 1 0 13 0 11
hsa-miR-3199 0 0 0 0 0 0 6 0 0 0 0 0 0 0
hsa-miR-32-3p 0 0 1 8 30 2 1 7 16 2 0 3 2 0
hsa-miR-32-5p 19 1 14 17 18 13 51 16 25 11 6 29 13 38
hsa-miR-3200-3p 0 0 1 0 0 0 7 0 0 1 0 0 0 1
hsa-miR-3200-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3202 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-320a 23981 7073 24773 44814 32457 20452 60732 69285 125980 20650 16791 25478 59044 32122
hsa-miR-320b 1799 522 1769 4598 3247 2452 6354 7459 12192 2630 952 2207 7459 4151
hsa-miR-320c 622 152 579 1302 1033 833 1682 1886 2724 800 253 784 2597 1523
hsa-miR-320d 122 19 134 362 198 192 417 484 646 183 44 199 466 312
hsa-miR-320e 13 4 20 28 20 18 47 50 89 13 10 19 62 31
hsa-miR-323a-3p 26 0 70 67 0 2 23 44 19 1 9 37 22 0
hsa-miR-323a-5p 16 5 27 16 0 0 14 18 25 1 4 0 30 13
hsa-miR-323b-3p 33 6 40 58 0 1 107 50 61 0 2 31 20 40
hsa-miR-324-3p 16 0 2 1 7 0 2 1 10 0 1 18 0 1
hsa-miR-324-5p 0 0 0 0 0 0 8 11 0 0 2 0 0 5
hsa-miR-326 12 2 28 26 23 18 28 50 64 25 16 45 11 19
hsa-miR-328-3p 1550 335 1158 1141 1078 335 909 961 2906 546 625 2094 758 591
hsa-miR-329-3p 0 0 0 3 0 2 4 0 16 0 0 2 0 0
hsa-miR-330-3p 600 206 789 661 402 68 518 393 868 181 382 878 171 122
hsa-miR-330-5p 49 7 19 19 18 18 31 34 70 9 8 73 12 39
hsa-miR-331-3p 24 12 14 11 1 3 20 1 57 12 8 15 1 0
hsa-miR-331-5p 29 7 26 30 18 6 37 3 35 12 6 39 34 17
hsa-miR-335-3p 148 18 124 53 75 53 115 128 385 67 99 175 36 142
hsa-miR-335-5p 15 5 12 9 0 5 3 9 28 8 5 9 10 8
hsa-miR-337-3p 0 5 7 2 0 0 0 11 0 0 0 0 12 0
hsa-miR-337-5p 0 0 0 0 0 0 0 7 0 0 0 0 0 0
hsa-miR-338-3p 0 0 0 15 8 1 0 0 0 0 0 0 0 0
hsa-miR-338-5p 3 19 8 13 26 36 29 14 41 7 17 43 32 0
hsa-miR-339-3p 65 11 21 72 130 75 99 75 110 38 22 92 75 24
hsa-miR-339-5p 95 21 41 35 56 10 2 9 39 12 8 73 0 3
hsa-miR-33a-3p 0 0 0 0 0 0 0 0 0 2 0 0 0 0
hsa-miR-33a-5p 0 0 3 0 0 0 0 0 0 0 0 11 0 0
hsa-miR-33b-3p 0 0 0 0 0 0 0 0 0 0 2 0 0 0
hsa-miR-340-3p 1181 312 501 264 527 196 652 285 877 257 227 1208 159 278
hsa-miR-340-5p 400 49 179 348 320 148 328 198 655 154 93 556 226 150
hsa-miR-342-3p 85 23 42 142 49 42 70 66 51 37 28 89 196 111
hsa-miR-342-5p 1454 261 1070 1847 1328 1482 1509 1638 2844 953 410 2102 2273 1859
hsa-miR-345-5p 40 4 23 85 54 11 59 132 161 32 13 124 102 20
hsa-miR-34a-3p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-34a-5p 3 0 1 0 0 6 0 2 0 4 1 3 0 1
hsa-miR-34b-3p 0 0 0 0 0 0 0 0 0 0 0 10 0 0
hsa-miR-34c-3p 2 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-34c-5p 3 0 1 7 0 2 4 21 0 4 0 4 2 6
hsa-miR-3591-5p 1 13 1 5 5 3 6 1 3 4 0 5 15 5
hsa-miR-3605-3p 136 45 82 48 70 9 115 129 120 34 14 35 124 86
hsa-miR-3605-5p 19 10 9 21 47 0 26 61 61 19 13 9 27 36
hsa-miR-3607-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 1
hsa-miR-3609 0 0 0 0 1 0 0 0 0 0 0 0 0 0
hsa-miR-361-3p 1265 294 896 698 775 308 824 628 1356 291 660 1061 415 381
hsa-miR-361-5p 29 21 18 24 15 30 10 22 78 18 11 47 29 4
hsa-miR-3613-3p 0 0 0 0 0 0 0 0 0 0 0 9 0 0
hsa-miR-3614-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3614-5p 0 5 0 12 20 31 6 1 16 3 8 3 0 0
hsa-miR-3615 2823 515 1271 3112 3348 2693 6842 7121 10372 1769 1103 2993 6148 4137
hsa-miR-3617-5p 0 4 0 0 0 0 0 0 4 0 3 0 0 0
hsa-miR-362-5p 15 1 0 0 13 0 0 0 0 1 1 1 2 0
hsa-miR-3620-5p 0 0 0 0 0 0 0 0 5 0 0 0 1 14
hsa-miR-3622b-5p 0 0 0 0 0 3 2 0 0 0 0 0 0 0
hsa-miR-363-3p 575 93 162 779 915 1027 961 1116 1530 416 283 887 609 563
hsa-miR-363-5p 3 0 16 14 6 83 20 35 83 0 1 12 73 14
hsa-miR-365a-3p 2 0 0 0 0 2 0 2 0 2 0 2 0 0
hsa-miR-365a-5p 15 0 3 6 1 0 0 0 11 19 2 0 47 38
hsa-miR-365b-5p 7 0 0 0 0 0 0 17 28 6 0 2 31 0
hsa-miR-3660 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-3661 0 0 4 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3662 0 0 0 0 0 0 0 0 0 0 1 0 0 1
hsa-miR-3663-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3664-5p 0 0 0 0 0 0 0 0 0 10 0 0 0 0
hsa-miR-3667-3p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-3675-3p 0 0 0 0 0 0 0 0 0 0 0 7 0 0
hsa-miR-3675-5p 0 0 0 0 0 0 0 1 0 0 0 1 0 0
hsa-miR-3679-5p 3 0 0 12 21 5 11 0 12 13 0 15 9 0
hsa-miR-3680-5p 7 0 0 0 0 0 7 0 0 0 0 0 13 0
hsa-miR-3682-3p 0 0 2 0 0 0 20 0 25 1 0 0 12 0
hsa-miR-3683 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3685 0 0 0 0 0 0 0 0 15 0 0 0 0 0
hsa-miR-3688-3p 0 0 0 0 0 0 0 0 15 0 0 3 0 1
hsa-miR-369-3p 14 0 10 0 0 0 0 22 0 0 0 3 15 0
hsa-miR-369-5p 76 6 37 28 17 0 83 44 36 0 9 34 6 7
hsa-miR-3690 0 0 2 5 14 10 0 5 7 6 0 6 1 0
hsa-miR-3691-5p 0 2 0 0 0 0 17 9 16 0 7 13 0 0
hsa-miR-370-3p 370 54 658 460 203 32 758 489 655 57 106 456 196 42
hsa-miR-370-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-371a-3p 0 3 0 1 5 0 0 0 4 0 0 0 0 0
hsa-miR-371a-5p 0 4 0 3 4 0 0 1 7 1 0 2 0 0
hsa-miR-371b-5p 0 0 0 2 0 0 0 0 0 0 1 0 0 0
hsa-miR-372-3p 3 114 2 112 163 9 11 8 290 6 0 6 0 44
hsa-miR-373-3p 0 1 0 3 1 0 3 0 3 1 0 0 0 0
hsa-miR-374a-3p 43 0 15 11 13 17 50 27 4 1 1 44 15 11
hsa-miR-374a-5p 31 0 7 29 33 15 3 63 28 17 16 45 1 2
hsa-miR-374b-3p 0 3 0 0 0 1 1 0 7 1 0 0 0 0
hsa-miR-374b-5p 29 0 13 6 8 26 12 9 5 6 3 64 7 11
hsa-miR-374c-3p 0 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-miR-374c-5p 8 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-375 627 186 228 5727 1346 1749 1895 1828 2121 502 128 972 661 537
hsa-miR-376a-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-376c-3p 0 0 0 0 0 0 15 0 0 0 0 0 0 0
hsa-miR-377-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-377-5p 0 0 4 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-378a-3p 932 286 852 2176 1571 1189 2320 3042 3125 1160 615 1684 3664 1912
hsa-miR-378a-5p 0 0 4 1 0 1 0 1 12 10 1 0 1 5
hsa-miR-378b 0 0 0 5 0 0 0 0 2 0 0 0 0 1
hsa-miR-378c 12 0 3 11 0 6 13 6 10 2 4 2 12 17
hsa-miR-378d 1 2 5 8 17 28 24 61 62 31 3 22 7 19
hsa-miR-378e 6 1 1 6 4 4 19 7 10 3 2 6 9 4
hsa-miR-378f 7 0 1 14 14 3 2 18 9 2 1 0 6 4
hsa-miR-378g 1 0 4 3 11 3 2 7 17 3 2 14 6 27
hsa-miR-378h 0 0 0 1 0 2 2 1 2 0 0 2 0 0
hsa-miR-378i 1 2 1 1 1 0 16 6 2 2 0 0 3 2
hsa-miR-379-3p 0 0 0 2 0 0 0 0 11 0 0 0 0 1
hsa-miR-379-5p 181 9 150 133 50 26 159 128 105 42 18 210 55 59
hsa-miR-380-5p 0 0 9 0 0 0 0 9 0 0 0 1 0 0
hsa-miR-381-3p 153 15 323 313 93 46 356 312 171 82 49 255 184 94
hsa-miR-382-3p 0 0 1 0 0 2 0 1 0 2 0 1 33 0
hsa-miR-382-5p 220 43 149 114 53 3 255 213 197 32 37 85 0 38
hsa-miR-3909 0 4 1 43 0 1 78 44 21 0 4 2 10 0
hsa-miR-3911 0 0 4 13 4 0 0 0 11 0 0 0 0 0
hsa-miR-3912-3p 0 0 5 0 0 0 0 0 0 1 0 1 0 0
hsa-miR-3913-5p 24 5 13 7 27 11 16 27 46 16 7 4 25 30
hsa-miR-3918 0 0 0 0 0 0 0 0 11 0 0 0 0 0
hsa-miR-3920 0 0 0 0 0 0 0 0 0 0 3 1 0 0
hsa-miR-3928-3p 0 0 13 12 0 22 8 2 25 4 3 0 0 1
hsa-miR-3934-5p 1 0 0 0 0 0 7 7 16 2 0 14 16 0
hsa-miR-3936 0 0 0 0 0 0 0 0 0 0 3 0 0 0
hsa-miR-3939 0 0 0 0 0 0 0 5 0 0 1 0 0 0
hsa-miR-3940-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 19
hsa-miR-3940-5p 9 0 0 0 0 0 0 0 1 0 0 0 0 0
hsa-miR-3944-3p 0 0 0 5 0 0 0 0 0 0 0 0 0 0
hsa-miR-3944-5p 0 0 4 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-3960 0 0 0 0 0 7 0 0 0 0 0 0 0 0
hsa-miR-409-3p 3896 788 6937 4514 1543 750 8070 5085 4708 691 1048 3090 1340 963
hsa-miR-409-5p 0 0 7 6 0 3 0 13 0 0 0 1 0 0
hsa-miR-410-3p 0 0 0 0 0 0 0 1 2 9 0 2 0 0
hsa-miR-411-3p 0 0 19 13 0 0 53 9 0 1 4 0 0 0
hsa-miR-411-5p 48 2 48 12 8 5 18 13 24 1 1 21 19 1
hsa-miR-412-3p 0 0 22 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-412-5p 0 1 8 0 0 0 0 1 0 16 0 1 0 0
hsa-miR-421 14 14 23 5 0 8 8 39 44 2 13 24 1 22
hsa-miR-423-3p 13148 2555 9706 10623 10517 4704 13783 13076 27865 4824 5724 20232 9736 6468
hsa-miR-423-5p 70773 13500 63872 86578 118568 65155 110470 135695 197580 26109 55582 89949 214940 102152
hsa-miR-424-3p 78 31 61 173 264 181 446 512 413 100 47 243 288 89
hsa-miR-424-5p 2 0 0 1 0 8 0 4 5 2 0 1 0 0
hsa-miR-425-3p 16 0 12 28 12 5 3 41 55 1 21 65 15 8
hsa-miR-425-5p 1153 364 902 634 1048 452 1100 1307 1943 389 422 1739 583 411
hsa-miR-4286 0 0 0 0 1 2 0 0 0 0 0 2 1 0
hsa-miR-429 3 0 10 4 0 1 0 1 0 3 4 3 15 16
hsa-miR-4306 0 0 0 5 0 1 0 0 1 0 0 0 0 0
hsa-miR-431-3p 0 0 1 0 0 2 0 1 0 7 0 4 0 0
hsa-miR-431-5p 14 0 18 9 0 1 0 22 25 2 4 14 0 0
hsa-miR-4318 0 0 0 0 2 0 0 0 0 0 0 0 0 0
hsa-miR-432-5p 634 148 1052 632 177 1 1243 719 844 160 194 506 142 239
hsa-miR-4324 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-4326 62 0 55 79 48 4 77 47 157 15 15 54 1 96
hsa-miR-433-3p 11 17 127 77 11 1 5 34 71 13 18 46 36 17
hsa-miR-4427 0 0 0 0 0 0 16 0 0 0 0 0 0 0
hsa-miR-4429 13 1 18 48 27 30 52 70 110 18 12 16 52 46
hsa-miR-4433a-3p 0 4 4 3 5 0 3 2 0 0 2 20 0 0
hsa-miR-4433a-5p 0 0 0 0 0 0 0 0 0 0 0 1 0 0
hsa-miR-4433b-3p 580 102 473 167 562 63 324 196 414 130 325 1328 161 206
hsa-miR-4433b-5p 508 73 482 308 401 50 463 371 656 67 265 859 201 194
hsa-miR-4435 15 0 0 7 0 7 0 0 80 8 4 13 0 1
hsa-miR-4436a 10 0 0 0 0 0 0 0 8 0 0 0 0 0
hsa-miR-4436b-3p 0 0 1 0 0 0 0 0 0 0 0 4 0 0
hsa-miR-4436b-5p 9 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4437 0 0 0 0 0 0 0 17 0 0 6 0 0 0
hsa-miR-4440 0 0 0 0 0 0 0 0 19 5 2 15 0 0
hsa-miR-4443 0 0 0 0 0 0 0 1 15 0 1 0 0 0
hsa-miR-4444 0 0 3 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4446-3p 951 170 521 291 373 148 567 351 1998 313 386 1117 140 278
hsa-miR-4448 1 0 3 0 0 0 2 0 0 0 0 1 0 0
hsa-miR-4449 0 0 1 0 1 0 0 0 13 0 4 5 11 0
hsa-miR-4454 1 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4458 0 0 3 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4459 4 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4461 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-4462 0 0 0 0 0 0 7 0 0 0 0 0 0 0
hsa-miR-4466 11 9 4 13 31 42 67 58 45 15 1 12 33 41
hsa-miR-4467 25 0 6 0 20 43 28 12 0 0 6 18 9 17
hsa-miR-4470 0 0 9 4 0 0 0 0 0 8 0 8 0 0
hsa-miR-4473 22 0 24 2 18 0 10 1 45 0 9 50 20 0
hsa-miR-4474-3p 2 0 0 0 0 0 8 0 0 0 0 0 0 0
hsa-miR-4477b 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-4482-3p 0 0 0 0 20 0 0 0 3 0 0 0 0 0
hsa-miR-4489 1 0 0 0 0 0 0 15 1 0 2 0 0 7
hsa-miR-4491 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4498 0 0 0 0 0 0 0 0 0 0 0 1 8 0
hsa-miR-449a 0 0 2 0 0 0 1 0 0 1 1 0 0 2
hsa-miR-449c-5p 1 0 0 0 1 1 0 1 0 0 0 0 0 0
hsa-miR-4503 0 0 0 12 0 0 0 0 0 0 0 0 0 0
hsa-miR-4504 1 0 0 0 18 0 11 6 15 0 0 0 0 0
hsa-miR-450a-2-3p 1 0 5 0 0 0 0 0 0 1 0 0 15 0
hsa-miR-450a-5p 14 2 16 12 4 9 25 21 18 12 3 2 0 69
hsa-miR-450b-5p 4 1 6 15 0 6 17 19 10 17 5 42 6 4
hsa-miR-4510 0 0 0 0 0 0 0 0 0 0 0 2 0 0
hsa-miR-4511 0 3 8 0 0 0 0 0 0 0 2 0 0 0
hsa-miR-451a 101953 14954 44362 169653 326081 216479 375312 434352 519984 129544 49626 159447 258324 218546
hsa-miR-452-5p 17 8 12 0 0 3 13 4 6 3 2 12 0 0
hsa-miR-4520-3p 0 0 0 0 0 1 0 0 0 0 0 0 0 0
hsa-miR-4521 0 0 3 0 0 3 3 8 0 5 0 10 0 4
hsa-miR-4525 0 0 3 0 23 0 0 0 9 0 0 0 17 11
hsa-miR-4533 0 0 5 10 0 0 32 0 14 0 4 9 0 0
hsa-miR-454-3p 0 0 4 11 0 2 28 11 5 8 10 1 0 0
hsa-miR-454-5p 3 0 10 12 17 0 35 9 0 0 1 24 1 0
hsa-miR-455-3p 1 0 0 1 0 6 0 4 0 0 0 1 1 1
hsa-miR-455-5p 29 6 3 35 7 21 19 21 64 27 1 37 93 19
hsa-miR-4632-5p 0 0 0 0 0 0 0 0 5 0 0 0 0 0
hsa-miR-4635 0 0 0 0 0 0 0 2 0 2 0 0 0 0
hsa-miR-4638-5p 0 0 0 0 0 0 0 0 3 0 0 0 0 0
hsa-miR-4639-5p 0 0 0 0 0 0 17 0 0 0 4 0 0 0
hsa-miR-4640-3p 0 0 0 4 0 0 0 0 0 0 0 0 0 0
hsa-miR-4645-3p 0 0 0 0 0 0 0 0 0 0 0 0 0 2
hsa-miR-4646-3p 0 9 0 20 0 13 27 6 34 13 8 0 0 1
hsa-miR-4646-5p 2 0 9 0 4 0 0 11 0 6 1 6 16 28
hsa-miR-4647 11 0 9 5 0 8 15 10 33 5 8 19 27 17
hsa-miR-4648 0 0 3 0 0 0 0 0 0 0 0 0 0 15
hsa-miR-4654 3 0 5 9 0 0 0 0 2 0 10 2 0 0
hsa-miR-4655-5p 0 0 0 0 0 0 0 0 0 0 0 3 0 0
hsa-miR-4657 0 0 0 0 0 9 6 0 0 0 0 0 0 0
hsa-miR-4658 0 0 1 0 0 0 0 0 7 0 0 0 0 0
hsa-miR-4659a-3p 4 0 1 2 0 13 0 0 0 0 1 0 0 0
hsa-miR-4659b-3p 0 0 0 3 14 0 62 0 0 0 0 17 0 0
hsa-miR-4659b-5p 0 0 0 0 0 0 0 0 1 0 0 0 10 0
hsa-miR-4660 0 0 0 0 0 0 0 0 10 0 0 0 0 0
hsa-miR-4661-5p 3 0 9 6 0 0 0 17 26 7 2 17 28 19
hsa-miR-4662a-5p 17 0 0 0 0 0 0 0 0 9 2 27 0 0
hsa-miR-4662b 0 0 0 0 0 0 9 0 0 0 0 0 0 0
hsa-miR-4664-3p 9 0 35 2 0 0 15 22 66 14 4 1 0 1
hsa-miR-4665-5p 67 17 35 17 25 1 55 26 44 30 29 32 19 0
hsa-miR-4667-5p 0 0 2 0 7 0 0 0 9 0 2 5 0 0
hsa-miR-4668-5p 0 0 0 3 0 0 0 6 0 0 0 0 0 0
hsa-miR-4669 2 0 1 54 0 0 82 44 7 0 5 0 0 0
hsa-miR-4672 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-4674 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4676-3p 0 0 0 0 0 0 0 0 0 0 0 2 0 0
hsa-miR-4676-5p 0 0 11 0 0 0 0 0 0 0 0 6 0 0
hsa-miR-4677-3p 1 0 4 0 0 0 0 1 6 0 0 7 0 0
hsa-miR-4677-5p 6 0 0 0 0 14 0 11 22 7 1 0 0 0
hsa-miR-4678 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4683 0 0 2 9 0 0 0 0 0 0 1 5 0 0
hsa-miR-4685-3p 11 0 5 28 16 27 0 35 40 0 1 11 45 0
hsa-miR-4686 0 0 0 0 0 0 0 0 0 0 0 6 0 0
hsa-miR-4687-3p 0 0 0 0 0 0 0 0 0 0 0 13 0 0
hsa-miR-4688 0 0 0 1 0 0 0 6 44 0 0 0 0 0
hsa-miR-4689 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4690-3p 0 0 0 0 0 0 0 13 0 0 0 0 0 0
hsa-miR-4695-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4697-5p 0 0 0 0 0 0 0 0 10 0 0 0 0 7
hsa-miR-4700-5p 0 0 0 0 0 0 0 0 0 0 1 0 0 0
hsa-miR-4706 0 0 0 0 0 0 0 0 0 2 3 0 0 0
hsa-miR-4707-5p 0 0 0 0 0 0 0 0 0 12 0 0 0 0
hsa-miR-4709-3p 0 0 0 0 0 0 0 4 0 0 0 0 0 0
hsa-miR-4710 0 0 0 0 0 0 0 0 2 0 0 0 0 0
hsa-miR-4714-5p 0 0 0 0 0 0 8 0 0 0 0 0 0 0
hsa-miR-4716-3p 0 0 0 0 0 0 0 0 0 5 0 7 0 12
hsa-miR-4717-3p 0 0 0 0 0 0 0 0 0 1 0 0 0 0
hsa-miR-4721 0 0 2 0 0 0 0 16 0 0 0 0 0 0
hsa-miR-4723-3p 9 0 0 0 0 0 0 0 3 0 0 0 8 0
hsa-miR-4723-5p 0 0 3 0 0 0 0 0 0 0 0 0 0 14
hsa-miR-4724-5p 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hsa-miR-4726-5p 0 0 0 0 0 0 0 0 0 9 2 4 0 0
hsa-miR-4727-3p 10 0 0 0 0 16 0 0 14 0 2 6 0 0
hsa-miR-4732-3p 168 22 60 122 187 274 515 454 562 73 40 126 281 300
